[18]{'policy_loss': -28.364, 'ent_loss': -0.511, 'mem_len': 40718}
[19]{'policy_loss': -28.242, 'ent_loss': -0.545, 'mem_len': 40885}
[20]{'policy_loss': -30.299, 'ent_loss': -0.291, 'mem_len': 41040}
[21]{'policy_loss': -29.287, 'ent_loss': -0.486, 'mem_len': 41340}
[22]{'policy_loss': -28.937, 'ent_loss': -0.612, 'mem_len': 41717}
[23]{'policy_loss': -29.579, 'ent_loss': -0.333, 'mem_len': 41718}
[24]{'policy_loss': -29.068, 'ent_loss': -0.398, 'mem_len': 41840}
[25]{'policy_loss': -28.484, 'ent_loss': -0.542, 'mem_len': 42149}
[26]{'policy_loss': -27.559, 'ent_loss': -0.383, 'mem_len': 42275}
[27]{'policy_loss': -29.828, 'ent_loss': -0.553, 'mem_len': 42423}
[28]{'policy_loss': -29.36, 'ent_loss': -0.391, 'mem_len': 42572}
[29]{'policy_loss': -30.331, 'ent_loss': -0.342, 'mem_len': 42737}
[30]{'policy_loss': -30.508, 'ent_loss': -0.384, 'mem_len': 42888}
[31]{'policy_loss': -30.477, 'ent_loss': -0.748, 'mem_len': 43142}
[32]{'policy_loss': -29.3, 'ent_loss': -0.602, 'mem_len': 43273}
[33]{'policy_loss': -30.87, 'ent_loss': -0.388, 'mem_len': 43399}
[34]{'policy_loss': -29.464, 'ent_loss': -0.58, 'mem_len': 43708}
[35]{'policy_loss': -31.44, 'ent_loss': -0.55, 'mem_len': 43849}
[36]{'policy_loss': -30.332, 'ent_loss': -0.317, 'mem_len': 44051}
[37]{'policy_loss': -30.856, 'ent_loss': -0.532, 'mem_len': 44214}
[38]{'policy_loss': -28.896, 'ent_loss': -0.359, 'mem_len': 44377}
[39]{'policy_loss': -28.899, 'ent_loss': -0.09, 'mem_len': 44756}
[40]{'policy_loss': -30.613, 'ent_loss': -0.351, 'mem_len': 44926}
[41]{'policy_loss': -30.823, 'ent_loss': -0.245, 'mem_len': 44927}
